Χρονική σήμανση,Διεύθυνση ηλεκτρονικού ταχυδρομείου,Ονοματεπώνυμο,Είστε Φοιτητής του Πανεπιστημίου Πειραιώς;,Έτος Σπουδών (προαιρετικό):,Εμπειρία στο Linux,Αγαπημένη διανομή linux (προαιρετικό);,"Θα θέλατε να σας στείλουμε μία Feedback φόρμα (μετά το πέρας του event), προκειμένου να το αξιολογήσετε ή/και να μας πείτε πως μπορούμε να βελτιωθούμε (ανώνυμα);"
12/10/2017 2:31:49 μ.μ.,linux@gmail.com,Foo Bar,Όχι,2,Καμία/Beginner,Debian,Ναι
12/10/2017 3:01:48 μ.μ.,linux@gmail.com,Foo Bar,Ναι,4ο,Intermediate,Debian,Ναι
12/10/2017 4:12:38 μ.μ.,linux@gmail.com,Foo Bar,Όχι,4,Intermediate,Fedora,Ναι
12/10/2017 4:19:00 μ.μ.,linux@gmail.com,Foo Bar,Ναι,2ο,Καμία/Beginner,Ubuntu,Όχι
12/10/2017 4:19:03 μ.μ.,linux@gmail.com,Foo Bar,Ναι,1ο,Καμία/Beginner,,Ναι
12/10/2017 4:19:09 μ.μ.,linux@gmail.com,Foo Bar,Ναι,3,Καμία/Beginner,,Ναι
12/10/2017 4:19:57 μ.μ.,linux@gmail.com,Foo Bar,Ναι,,Intermediate,,Ναι
12/10/2017 4:22:17 μ.μ.,linux@gmail.com,Foo Bar,Ναι,4,Intermediate,Ubuntu,Ναι
12/10/2017 5:05:39 μ.μ.,linux@gmail.com,Foo Bar,Όχι,2ο,Intermediate,Fedora,Ναι
12/10/2017 5:30:28 μ.μ.,linux@gmail.com,Foo Bar,Ναι,Δεύτερο,Intermediate,Ubuntu,Ναι
12/10/2017 5:33:16 μ.μ.,linux@gmail.com,Foo Bar,Ναι,1,Intermediate,"Elementary OS, Kali Linux",Ναι
12/10/2017 5:35:03 μ.μ.,linux@gmail.com,Foo Bar,Ναι,1,Καμία/Beginner,,Ναι
12/10/2017 5:41:29 μ.μ.,linux@gmail.com,Foo Bar,Όχι,2,Intermediate,Archlinux,Όχι
12/10/2017 5:55:42 μ.μ.,linux@gmail.com,Foo Bar,Ναι,1ο,Καμία/Beginner,Ubuntu,Ναι
12/10/2017 5:58:59 μ.μ.,linux@gmail.com,Foo Bar,Ναι,Πτυχιούχος,Intermediate,"Lubuntu,Kali",Όχι
12/10/2017 7:44:40 μ.μ.,linux@gmail.com,Foo Bar,Ναι,1,Καμία/Beginner,,Ναι
12/10/2017 8:18:39 μ.μ.,linux@gmail.com,Foo Bar,Ναι,6,Καμία/Beginner,Debian,Ναι
12/10/2017 8:35:52 μ.μ.,linux@gmail.com,Foo Bar,Ναι,1ο,Καμία/Beginner,,Όχι
12/10/2017 9:37:19 μ.μ.,linux@gmail.com,Foo Bar,Ναι,2,Advanced/Expert,Kali/ ParrotOS,Ναι
12/10/2017 9:37:29 μ.μ.,linux@gmail.com,Foo Bar,Όχι,,Intermediate,Mint,Ναι
12/10/2017 9:41:49 μ.μ.,linux@gmail.com,Foo Bar,Ναι,,Intermediate,Debian,Ναι
12/10/2017 9:49:12 μ.μ.,linux@gmail.com,Foo Bar,Ναι,2ο,Καμία/Beginner,,Ναι
12/10/2017 9:51:32 μ.μ.,linux@gmail.com,Foo Bar,Ναι,1ο,Καμία/Beginner,,Ναι
12/10/2017 10:20:55 μ.μ.,linux@gmail.com,Foo Bar,Ναι,1ο,Καμία/Beginner,,Ναι
12/10/2017 10:21:20 μ.μ.,linux@gmail.com,Foo Bar,Όχι,,Intermediate,OpenSuse,Ναι
12/10/2017 10:23:13 μ.μ.,linux@gmail.com,Foo Bar,Ναι,,Καμία/Beginner,Ubuntu,Ναι
12/10/2017 10:47:33 μ.μ.,linux@gmail.com,Foo Bar,Ναι,1ο,Καμία/Beginner,,Ναι
12/10/2017 10:57:18 μ.μ.,linux@gmail.com,Foo Bar,Ναι,,Καμία/Beginner,xubuntu,Ναι
12/10/2017 11:02:55 μ.μ.,linux@gmail.com,Foo Bar,Ναι,1,Καμία/Beginner,,Ναι
13/10/2017 12:07:00 π.μ.,linux@gmail.com,Foo Bar,Ναι,2,Καμία/Beginner,,Ναι
13/10/2017 1:19:20 π.μ.,linux@gmail.com,Foo Bar,Ναι,3,Καμία/Beginner,Kali,Όχι
13/10/2017 3:41:33 π.μ.,linux@gmail.com,Foo Bar,Όχι,,Καμία/Beginner,,Ναι
13/10/2017 9:09:17 π.μ.,linux@gmail.com,Foo Bar,Ναι,3ο,Καμία/Beginner,,Ναι
13/10/2017 2:48:50 μ.μ.,linux@gmail.com,Foo Bar,Ναι,2ο,Καμία/Beginner,,Ναι
13/10/2017 4:28:51 μ.μ.,linux@gmail.com,Foo Bar,Ναι,1ο,Καμία/Beginner,,Ναι
13/10/2017 5:57:32 μ.μ.,linux@gmail.com,Foo Bar,Ναι,,Καμία/Beginner,,Ναι
13/10/2017 7:20:40 μ.μ.,linux@gmail.com,Foo Bar,Ναι,1ο έτος,Καμία/Beginner,,Όχι
13/10/2017 7:36:16 μ.μ.,linux@gmail.com,Foo Bar,Όχι,,Καμία/Beginner,,Ναι
13/10/2017 8:25:54 μ.μ.,linux@gmail.com,Foo Bar,Ναι,,Καμία/Beginner,,Ναι
13/10/2017 8:30:10 μ.μ.,linux@gmail.com,Foo Bar,Όχι,,Intermediate,Ubuntu,Ναι
13/10/2017 8:57:09 μ.μ.,linux@gmail.com,Foo Bar,Όχι,4ο,Καμία/Beginner,,Ναι
14/10/2017 12:46:59 μ.μ.,linux@gmail.com,Foo Bar,Όχι,2α Λυκείου,Καμία/Beginner,Ubuntu,Ναι
14/10/2017 1:27:15 μ.μ.,linux@gmail.com,Foo Bar,Ναι,4ο,Intermediate,,Ναι
14/10/2017 1:41:09 μ.μ.,linux@gmail.com,Foo Bar,Ναι,6,Καμία/Beginner,,Ναι
14/10/2017 3:51:18 μ.μ.,linux@gmail.com,Foo Bar,Ναι,2ο,Καμία/Beginner,,Ναι
14/10/2017 5:33:22 μ.μ.,linux@gmail.com,Foo Bar,Ναι,,Καμία/Beginner,,Ναι
14/10/2017 5:33:28 μ.μ.,linux@gmail.com,Foo Bar,Ναι,,Καμία/Beginner,,Όχι
14/10/2017 6:27:04 μ.μ.,linux@gmail.com,Foo Bar,Ναι,4ο,Intermediate,Ubuntu,Ναι
14/10/2017 9:01:01 μ.μ.,linux@gmail.com,Foo Bar,Όχι,1ο,Καμία/Beginner,Ubuntu,Ναι
14/10/2017 11:31:36 μ.μ.,linux@gmail.com,Foo Bar,Όχι,,Καμία/Beginner,,Ναι
15/10/2017 6:47:18 π.μ.,linux@gmail.com,Foo Bar,Ναι,,Καμία/Beginner,,Όχι
15/10/2017 11:44:09 π.μ.,linux@gmail.com,Foo Bar,Ναι,3ο,Intermediate,Ubuntu,Όχι
15/10/2017 2:02:30 μ.μ.,linux@gmail.com,Foo Bar,Όχι,Αποφοιτος,Intermediate,,Ναι
15/10/2017 2:55:03 μ.μ.,linux@gmail.com,Foo Bar,Ναι,1,Καμία/Beginner,,Όχι
15/10/2017 4:20:58 μ.μ.,linux@gmail.com,Foo Bar,Ναι,6,Καμία/Beginner,Ubuntu,Όχι
15/10/2017 4:34:40 μ.μ.,linux@gmail.com,Foo Bar,Όχι,6,Καμία/Beginner,xubuntu,Όχι
15/10/2017 4:50:28 μ.μ.,linux@gmail.com,Foo Bar,Όχι,,Intermediate,"Linux Mint. Θα μ'ενδιέφερε να εγκαταστούσα το Qubes OS σε laptop, ενώ θα φέρω κι ένα LinuxMint17.3 σύστημα με πρόβλημα ""grub> .... Partition hd2,gpt3 : No known filesystem detected"" εκεί που θα έπρεπε να βρίσκεται το /home μπας και μπορείτε να με βοηθήσετε. Ευχαριστώ!",Όχι
15/10/2017 6:16:54 μ.μ.,linux@gmail.com,Foo Bar,Όχι,1,Καμία/Beginner,,Ναι
15/10/2017 7:01:06 μ.μ.,linux@gmail.com,Foo Bar,Όχι,1,Καμία/Beginner,Δεν εχω ασχοληθει με unix OS,Όχι
15/10/2017 7:01:40 μ.μ.,linux@gmail.com,Foo Bar,Όχι,2ο,Καμία/Beginner,,Ναι
15/10/2017 7:13:47 μ.μ.,linux@gmail.com,Foo Bar,Όχι,1,Καμία/Beginner,,Ναι
15/10/2017 7:19:27 μ.μ.,linux@gmail.com,Foo Bar,Ναι,1ο,Καμία/Beginner,,Ναι
15/10/2017 7:52:45 μ.μ.,linux@gmail.com,Foo Bar,Όχι,2,Intermediate,Ubuntu,Ναι
15/10/2017 10:47:59 μ.μ.,linux@gmail.com,Foo Bar,Ναι,6,Καμία/Beginner,Ubuntu,Ναι
15/10/2017 11:37:28 μ.μ.,linux@gmail.com,Foo Bar,Ναι,,Καμία/Beginner,,Όχι
15/10/2017 11:54:13 μ.μ.,linux@gmail.com,Foo Bar,Ναι,1ο,Καμία/Beginner,,Ναι
16/10/2017 12:13:38 π.μ.,linux@gmail.com,Foo Bar,Ναι,5,Intermediate,Ubuntu,Όχι
16/10/2017 12:35:02 π.μ.,linux@gmail.com,Foo Bar,Ναι,2,Καμία/Beginner,Ubuntu,Όχι
16/10/2017 12:41:52 π.μ.,linux@gmail.com,Foo Bar,Ναι,4,Intermediate,xubuntu,Ναι
16/10/2017 1:38:31 π.μ.,linux@gmail.com,Foo Bar,Ναι,6,Καμία/Beginner,,Ναι
16/10/2017 9:18:50 π.μ.,linux@gmail.com,Foo Bar,Ναι,4ο,Καμία/Beginner,Ubuntu,Ναι
16/10/2017 9:37:48 π.μ.,linux@gmail.com,Foo Bar,Ναι,1o,Καμία/Beginner,,Όχι
16/10/2017 10:48:07 π.μ.,linux@gmail.com,Foo Bar,Ναι,3ο,Intermediate,Debian,Ναι
16/10/2017 10:56:52 π.μ.,linux@gmail.com,Foo Bar,Ναι,,Καμία/Beginner,,Όχι
16/10/2017 11:48:03 π.μ.,linux@gmail.com,Foo Bar,Ναι,3,Καμία/Beginner,,Όχι
16/10/2017 12:25:16 μ.μ.,linux@gmail.com,Foo Bar,Ναι,4ο,Καμία/Beginner,Ubuntu,Όχι
16/10/2017 1:17:59 μ.μ.,linux@gmail.com,Foo Bar,Ναι,4ο,Advanced/Expert,,Ναι
16/10/2017 3:00:52 μ.μ.,linux@gmail.com,Foo Bar,Όχι,1o,Καμία/Beginner,,Ναι
16/10/2017 4:00:33 μ.μ.,linux@gmail.com,Foo Bar,Ναι,,Καμία/Beginner,,Όχι
16/10/2017 4:01:21 μ.μ.,linux@gmail.com,Foo Bar,Ναι,1,Καμία/Beginner,Ubuntu,Ναι
16/10/2017 4:06:52 μ.μ.,linux@gmail.com,Foo Bar,Ναι,3ο,Intermediate,Ubuntu,Ναι
16/10/2017 7:39:21 μ.μ.,linux@gmail.com,Foo Bar,Ναι,1,Καμία/Beginner,Kali,Ναι
16/10/2017 7:40:45 μ.μ.,linux@gmail.com,Foo Bar,Ναι,1,Καμία/Beginner,Ubuntu,Ναι
